Feature,Importance
num__RAM (GB),0.5182560966354962
num__Weight (kg),0.0946526338445474
cat__TypeName_Notebook,0.06171487454531606
num__CPU_Frequency (GHz),0.04305350246116094
cat__CPU_Family_Core i7,0.04078436651647713
num__SSD_GB,0.02543963400376559
num__Inches,0.02283260904638176
num__Resolution_Width,0.0216636205377927
cat__CPU_Family_Core i5,0.01868053617091077
num__Total_Storage_GB,0.013969861825327206
cat__TypeName_Workstation,0.013830895144060962
num__Resolution_Height,0.013750119490099931
cat__Company_Razer,0.010927353868655095
cat__CPU_Family_Xeon,0.010347017152284959
cat__GPU_Family_Other,0.010096819676420277
num__IPS,0.008352936963720243
cat__Company_Asus,0.006807723821193703
cat__Company_HP,0.005283290691230666
cat__Company_Lenovo,0.004596768727139038
num__Touchscreen,0.004506887777985204
cat__Storage_Type_HDD,0.004224592195645668
cat__Company_Dell,0.0039013781746155764
cat__OS_Family_Windows,0.00360170241120084
cat__TypeName_Ultrabook,0.0031479373788406225
cat__Storage_Type_SSD,0.0030498301475603874
cat__TypeName_Gaming,0.0022407288230669887
cat__GPU_Family_Intel HD,0.0020224757414371046
num__HDD_GB,0.0020137463136835087
cat__GPU_Company_AMD,0.0019907813259706112
cat__GPU_Family_Nvidia GTX,0.0019698485523892886
cat__Company_Acer,0.0019408724099205118
cat__Storage_Type_SSD + HDD,0.001926431883433506
cat__TypeName_2 in 1 Convertible,0.0018470894468622316
cat__GPU_Family_AMD Radeon,0.0017428577896039142
cat__GPU_Company_Nvidia,0.001710250170817703
cat__Company_MSI,0.0015293167156823135
cat__GPU_Company_Intel,0.0015067183862288295
cat__CPU_Family_Core i3,0.0013489274310619327
cat__OS_Family_No OS,0.0010609872986404156
cat__CPU_Family_Celeron,0.0009211436578976587
cat__GPU_Family_Intel UHD,0.0007958845308715708
cat__CPU_Family_Core M,0.0007677717635635208
cat__Company_Toshiba,0.0007337010981571954
cat__GPU_Family_Nvidia MX,0.0007074938713050151
cat__OS_Family_Linux,0.00042859723072572744
cat__CPU_Company_AMD,0.0004279964935072674
cat__CPU_Company_Intel,0.0004138752313850075
cat__GPU_Family_Nvidia GeForce,0.00038271452702628913
cat__CPU_Family_Pentium,0.00022931826898348775
cat__TypeName_Netbook,0.00022553638585156533
cat__Company_LG,0.0001892368134106828
cat__CPU_Family_A8-Series,0.00012139752085119334
cat__Company_Samsung,0.00011842525622711882
cat__CPU_Family_Ryzen,0.000113824049935611
num__Flash_GB,0.00010579451951476713
cat__Company_Apple,0.00010530979168741882
num__Hybrid_GB,0.00010396231164393137
cat__Company_Microsoft,9.305596570424886e-05
cat__Storage_Type_Flash,9.127607645246922e-05
cat__CPU_Family_A6-Series,8.437538513326728e-05
cat__OS_Family_macOS,6.642360177257e-05
cat__Company_Huawei,6.216704057916244e-05
cat__Company_Xiaomi,5.000069512746666e-05
cat__OS_Family_Chrome OS,4.813904273871248e-05
cat__CPU_Family_Atom,4.4523511086979094e-05
cat__Company_Fujitsu,4.060252785231916e-05
cat__CPU_Family_A12-Series,3.9096896961835935e-05
cat__CPU_Family_FX,3.461824285999065e-05
cat__OS_Family_Android,3.427805247487326e-05
cat__CPU_Family_E-Series,2.024675079462071e-05
cat__Company_Vero,1.938277824044018e-05
cat__CPU_Family_A10-Series,1.3193748083095308e-05
cat__Storage_Type_Hybrid,1.149035818874598e-05
cat__Company_Mediacom,9.724022151960273e-06
cat__CPU_Family_A9-Series,9.30494636761296e-06
cat__Company_Chuwi,6.8947949867648045e-06
cat__CPU_Family_Cortex,2.3424065284750933e-06
cat__GPU_Company_ARM,1.4455807807367934e-06
cat__Company_Google,1.3660948057822411e-06
cat__CPU_Company_Samsung,4.66611548933234e-08
