Feature,Importance
num__RAM (GB),0.5321021124864723
num__Weight (kg),0.09312856357853647
cat__TypeName_Notebook,0.05850398726348276
num__CPU_Frequency (GHz),0.0453807789798398
cat__CPU_Family_Core i7,0.03462545861531196
num__SSD_GB,0.025891061636455135
num__Inches,0.02261160366863783
num__Resolution_Width,0.01843308480046165
cat__CPU_Family_Core i5,0.017115804257268778
num__Resolution_Height,0.01589193715194159
cat__TypeName_Workstation,0.014224571456546863
num__Total_Storage_GB,0.013907397882570175
cat__Company_Razer,0.010696655937246172
cat__GPU_Family_Other,0.009639185839069928
num__IPS,0.008339666787800336
cat__CPU_Family_Xeon,0.008072616067908477
cat__Company_Asus,0.0066112843822238995
cat__Company_HP,0.005681438272102316
num__Touchscreen,0.004655493164815772
cat__Company_Lenovo,0.004415976704241373
cat__Company_Dell,0.004397444316648746
cat__Storage_Type_HDD,0.004109214254574411
cat__OS_Family_Windows,0.003345655821086809
cat__TypeName_Ultrabook,0.0032140393048486105
cat__Storage_Type_SSD,0.00289268321991046
cat__TypeName_Gaming,0.0024563927271867136
cat__GPU_Family_Nvidia GTX,0.002298021371680932
cat__GPU_Company_AMD,0.002182248443800929
cat__TypeName_2 in 1 Convertible,0.0019161046784000107
cat__Company_Acer,0.001897568995818811
cat__GPU_Family_Intel HD,0.0018212940299579328
cat__Storage_Type_SSD + HDD,0.0017950984357500762
cat__GPU_Company_Intel,0.0015823599111207476
cat__GPU_Family_AMD Radeon,0.0015685619515956636
cat__GPU_Company_Nvidia,0.0015671645906657104
num__HDD_GB,0.0015521354375088359
cat__Company_MSI,0.0014605461260195278
cat__CPU_Family_Core i3,0.0013242339004757436
cat__OS_Family_No OS,0.0012617333385623595
cat__CPU_Family_Celeron,0.0009654533353858802
cat__Company_Toshiba,0.0007167412822484948
cat__GPU_Family_Intel UHD,0.0006394034978119503
cat__CPU_Family_Core M,0.0005905937522899853
cat__GPU_Family_Nvidia MX,0.0005621032766312451
cat__CPU_Company_Intel,0.0005485635518818922
cat__CPU_Company_AMD,0.0004964136023253912
cat__GPU_Family_Nvidia GeForce,0.000438054310374941
cat__OS_Family_Linux,0.0003689256696419401
cat__CPU_Family_Pentium,0.0002150388090474882
cat__TypeName_Netbook,0.00020871340394749415
num__Flash_GB,0.0001901359625843544
cat__Company_LG,0.00018452379835265267
num__Hybrid_GB,0.0001088543319935259
cat__OS_Family_macOS,9.8282830224863e-05
cat__Company_Samsung,9.616961570632117e-05
cat__CPU_Family_A8-Series,9.526055651027568e-05
cat__Storage_Type_Flash,9.077654639569997e-05
cat__CPU_Family_A6-Series,8.645491566832626e-05
cat__CPU_Family_Atom,8.174527445300791e-05
cat__Company_Apple,7.806087051151967e-05
cat__CPU_Family_Ryzen,7.635981699433539e-05
cat__OS_Family_Chrome OS,7.471815575749121e-05
cat__Company_Microsoft,7.181261318065216e-05
cat__CPU_Family_FX,4.708043871271002e-05
cat__Company_Fujitsu,4.04324101081356e-05
cat__CPU_Family_A12-Series,3.9476725460931494e-05
cat__Company_Huawei,3.6879745198284655e-05
cat__OS_Family_Android,3.1627560615419756e-05
cat__Storage_Type_Hybrid,2.2376453397137882e-05
cat__Company_Vero,2.136031837639361e-05
cat__CPU_Family_E-Series,2.0925254202305293e-05
cat__CPU_Family_A9-Series,1.875052852619183e-05
cat__Company_Xiaomi,1.759903275821104e-05
cat__Company_Google,1.4590661207986346e-05
cat__CPU_Family_A10-Series,1.2137687245690345e-05
cat__Company_Mediacom,1.1166919463505645e-05
cat__Company_Chuwi,5.559599055221482e-06
cat__CPU_Family_Cortex,3.957693120359252e-06
cat__GPU_Company_ARM,1.1351500647693192e-06
cat__CPU_Company_Samsung,6.042540205515191e-07
